"bssid","avg"
"00:0c:e6:00:0a:00","-71.3"
"00:0c:e6:00:0a:40","-84.7"
"00:0c:e6:00:0b:00","-69.6"
"00:0c:e6:00:0b:40","-83.1"
"00:0c:e6:00:0c:00","-60.4"
"00:0c:e6:00:0c:40","-71.6"
"00:0c:e6:00:0e:00","-68.8"
"00:0c:e6:00:0e:40","-84.4"
"00:0c:e6:00:12:00","-66.2"
"00:0c:e6:00:12:40","-85.7"
"00:0c:e6:00:13:00","-68.3"
"00:0c:e6:00:13:40","-81.9"
"00:0c:e6:00:15:00","-67.7"
"00:0c:e6:00:15:40","-80.1"
"00:0c:e6:00:1b:00","-72"
"00:0c:e6:00:1b:40","-85.5"
"00:0c:e6:00:1d:00","-65.8"
"00:0c:e6:00:1d:40","-78.1"
"00:0c:e6:00:20:00","-69.3"
"00:0c:e6:00:20:40","-83.4"
"00:0c:e6:00:25:00","-75.7"
"00:0c:e6:00:25:40","-89"
"00:0c:e6:00:26:00","-78.8"
"00:0c:e6:00:36:00","-80"
"00:0c:e6:00:37:00","-75.2"
"00:0c:e6:00:38:00","-77.5"
"00:0c:e6:00:38:40","-86.2"
"00:0c:e6:00:39:00","-74.7"
"00:0c:e6:00:39:40","-84.6"
"00:0c:e6:00:3a:00","-73.7"
"00:0c:e6:00:3a:40","-84.8"
