"bssid","avg"
"00:0c:e6:00:0a:00","-74.2"
"00:0c:e6:00:0a:40","-86.6"
"00:0c:e6:00:0b:00","-75.1"
"00:0c:e6:00:0b:40","-87.1"
"00:0c:e6:00:0c:00","-69.5"
"00:0c:e6:00:0c:40","-84"
"00:0c:e6:00:0e:00","-64.5"
"00:0c:e6:00:0e:40","-71.9"
"00:0c:e6:00:12:00","-75"
"00:0c:e6:00:12:40","-85.7"
"00:0c:e6:00:13:00","-68.2"
"00:0c:e6:00:13:40","-80.2"
"00:0c:e6:00:14:00","-81"
"00:0c:e6:00:15:00","-51.9"
"00:0c:e6:00:15:40","-61.6"
"00:0c:e6:00:1b:00","-76.2"
"00:0c:e6:00:1b:40","-89.5"
"00:0c:e6:00:1d:00","-67.3"
"00:0c:e6:00:1d:40","-75.5"
"00:0c:e6:00:20:00","-53.8"
"00:0c:e6:00:20:40","-65"
"00:0c:e6:00:26:40","-90"
"00:0c:e6:00:37:40","-89"
"00:0c:e6:00:39:00","-81"
"00:0c:e6:00:3a:00","-77.2"
"00:0c:e6:00:3a:40","-87.3"
