"bssid","avg"
"00:0c:e6:00:0a:00","-67.7"
"00:0c:e6:00:0a:40","-86.3"
"00:0c:e6:00:0b:00","-65.6"
"00:0c:e6:00:0b:40","-83"
"00:0c:e6:00:0c:00","-67.5"
"00:0c:e6:00:0c:40","-81.2"
"00:0c:e6:00:0e:00","-65.7"
"00:0c:e6:00:0e:40","-84.2"
"00:0c:e6:00:10:00","-64.3"
"00:0c:e6:00:12:00","-68.4"
"00:0c:e6:00:12:40","-84.6"
"00:0c:e6:00:13:00","-67.6"
"00:0c:e6:00:13:40","-84.3"
"00:0c:e6:00:15:00","-68.4"
"00:0c:e6:00:15:40","-79.7"
"00:0c:e6:00:18:00","-71.3"
"00:0c:e6:00:1b:00","-65.3"
"00:0c:e6:00:1b:40","-81.7"
"00:0c:e6:00:1d:00","-63.1"
"00:0c:e6:00:1d:40","-77.6"
"00:0c:e6:00:20:00","-65.5"
"00:0c:e6:00:20:40","-80.2"
"00:0c:e6:00:25:00","-73"
"00:0c:e6:00:25:40","-85.8"
"00:0c:e6:00:26:00","-73.3"
"00:0c:e6:00:27:00","-81"
"00:0c:e6:00:2a:00","-69.2"
"00:0c:e6:00:37:00","-69.8"
"00:0c:e6:00:38:00","-74.9"
"00:0c:e6:00:38:40","-88.1"
"00:0c:e6:00:39:00","-65.2"
"00:0c:e6:00:39:40","-81.4"
"00:0c:e6:00:3a:00","-69.4"
"00:0c:e6:00:3a:40","-84.8"
"00:0c:e6:00:43:40","-87"
