"bssid","avg"
"00:0c:e6:00:0a:00","-75.3"
"00:0c:e6:00:0a:40","-80"
"00:0c:e6:00:0b:00","-73"
"00:0c:e6:00:0b:40","-83"
"00:0c:e6:00:0c:00","-63"
"00:0c:e6:00:0c:40","-83.1"
"00:0c:e6:00:0e:00","-60"
"00:0c:e6:00:12:00","-60"
"00:0c:e6:00:12:40","-84"
"00:0c:e6:00:13:00","-82"
"00:0c:e6:00:13:40","-79"
"00:0c:e6:00:17:00","-73.6"
"00:0c:e6:00:18:00","-67.8"
"00:0c:e6:00:18:40","-70"
"00:0c:e6:00:1b:00","-72.8"
"00:0c:e6:00:1b:40","-88.8"
"00:0c:e6:00:1d:00","-74.2"
"00:0c:e6:00:1d:40","-79.6"
"00:0c:e6:00:20:40","-85.2"
"00:0c:e6:00:25:40","-88"
"00:0c:e6:00:29:00","-57"
"00:0c:e6:00:2e:40","-65"
"00:0c:e6:00:38:40","-80"
"00:0c:e6:00:39:00","-66.2"
"00:0c:e6:00:39:40","-73.3"
"00:0c:e6:00:3a:00","-72.8"
"00:0c:e6:00:3a:40","-84.9"
