"bssid","avg"
"00:0c:e6:00:0b:00","-75"
"00:0c:e6:00:0b:40","-88"
"00:0c:e6:00:0c:40","-87.4"
"00:0c:e6:00:0e:40","-80"
"00:0c:e6:00:12:00","-79"
"00:0c:e6:00:18:00","-68.7"
"00:0c:e6:00:18:40","-85.5"
"00:0c:e6:00:1b:00","-72.2"
"00:0c:e6:00:1d:00","-65"
"00:0c:e6:00:1d:40","-86"
"00:0c:e6:00:20:40","-88"
"00:0c:e6:00:29:00","-74.9"
"00:0c:e6:00:2e:00","-48"
"00:0c:e6:00:2e:40","-69"
"00:0c:e6:00:38:40","-88.5"
"00:0c:e6:00:39:00","-68.5"
"00:0c:e6:00:39:40","-83.9"
"00:0c:e6:00:3a:40","-77"
