"bssid","avg"
"00:0c:e6:00:0a:00","-71.8"
"00:0c:e6:00:0a:40","-89.6"
"00:0c:e6:00:0b:00","-75"
"00:0c:e6:00:0b:40","-89.4"
"00:0c:e6:00:0c:00","-78.3"
"00:0c:e6:00:0c:40","-86.9"
"00:0c:e6:00:0e:40","-87"
"00:0c:e6:00:12:00","-76.7"
"00:0c:e6:00:12:40","-78"
"00:0c:e6:00:13:40","-85"
"00:0c:e6:00:15:00","-80"
"00:0c:e6:00:15:40","-88"
"00:0c:e6:00:16:00","-76.2"
"00:0c:e6:00:1b:00","-61.3"
"00:0c:e6:00:1b:40","-85.4"
"00:0c:e6:00:1d:00","-72.6"
"00:0c:e6:00:1d:40","-88.6"
"00:0c:e6:00:20:40","-84"
"00:0c:e6:00:24:00","-74.2"
"00:0c:e6:00:25:00","-59.4"
"00:0c:e6:00:25:40","-83.7"
"00:0c:e6:00:26:00","-74.3"
"00:0c:e6:00:27:00","-75.2"
"00:0c:e6:00:2a:00","-68"
"00:0c:e6:00:2d:00","-72.2"
"00:0c:e6:00:2d:40","-87.6"
"00:0c:e6:00:35:00","-72.3"
"00:0c:e6:00:35:40","-85.7"
"00:0c:e6:00:36:00","-78.4"
"00:0c:e6:00:37:00","-71.6"
"00:0c:e6:00:37:40","-91"
"00:0c:e6:00:38:00","-69.7"
"00:0c:e6:00:38:40","-88.6"
"00:0c:e6:00:39:00","-69"
"00:0c:e6:00:3a:40","-87"
"00:0c:e6:00:43:00","-72.1"
