"bssid","avg"
"00:0c:e6:00:0a:00","-73"
"00:0c:e6:00:0a:40","-89.4"
"00:0c:e6:00:0b:00","-75"
"00:0c:e6:00:0b:40","-88.3"
"00:0c:e6:00:0c:00","-78.3"
"00:0c:e6:00:0c:40","-87"
"00:0c:e6:00:0e:00","-82"
"00:0c:e6:00:12:00","-78.3"
"00:0c:e6:00:13:00","-80.8"
"00:0c:e6:00:16:00","-51.5"
"00:0c:e6:00:16:40","-75.6"
"00:0c:e6:00:17:00","-62.6"
"00:0c:e6:00:17:40","-80.3"
"00:0c:e6:00:18:00","-62.5"
"00:0c:e6:00:18:40","-85.2"
"00:0c:e6:00:1b:00","-68"
"00:0c:e6:00:1b:40","-85.7"
"00:0c:e6:00:1d:00","-75.3"
"00:0c:e6:00:1d:40","-87.7"
"00:0c:e6:00:1e:00","-70.2"
"00:0c:e6:00:1e:40","-85.5"
"00:0c:e6:00:1f:00","-66.6"
"00:0c:e6:00:24:00","-66.4"
"00:0c:e6:00:24:40","-84.2"
"00:0c:e6:00:25:00","-63.7"
"00:0c:e6:00:25:40","-81.9"
"00:0c:e6:00:26:00","-75.7"
"00:0c:e6:00:26:40","-90"
"00:0c:e6:00:27:00","-73.3"
"00:0c:e6:00:2d:00","-58.8"
"00:0c:e6:00:2d:40","-78.2"
"00:0c:e6:00:30:00","-78"
"00:0c:e6:00:35:00","-67.2"
"00:0c:e6:00:35:40","-82.7"
"00:0c:e6:00:36:00","-77.5"
"00:0c:e6:00:36:40","-91.4"
"00:0c:e6:00:37:00","-73.6"
"00:0c:e6:00:37:40","-88"
"00:0c:e6:00:38:00","-70.9"
"00:0c:e6:00:38:40","-86.3"
"00:0c:e6:00:39:00","-74.9"
"00:0c:e6:00:3a:00","-79.2"
"00:0c:e6:00:3b:00","-79.8"
"00:0c:e6:00:43:00","-75.6"
"00:0c:e6:00:43:40","-90.5"
