"bssid","avg"
"00:0c:e6:00:0a:00","-60.8"
"00:0c:e6:00:0a:40","-74.4"
"00:0c:e6:00:0b:00","-59.1"
"00:0c:e6:00:0b:40","-70.5"
"00:0c:e6:00:0c:00","-57.1"
"00:0c:e6:00:0c:40","-71.6"
"00:0c:e6:00:0e:00","-59.2"
"00:0c:e6:00:0e:40","-72.7"
"00:0c:e6:00:12:00","-58.3"
"00:0c:e6:00:12:40","-73.6"
"00:0c:e6:00:13:00","-57.2"
"00:0c:e6:00:13:40","-69"
"00:0c:e6:00:15:00","-58"
"00:0c:e6:00:15:40","-74.8"
"00:0c:e6:00:1b:00","-61.1"
"00:0c:e6:00:1b:40","-73.7"
"00:0c:e6:00:1d:00","-55.4"
"00:0c:e6:00:1d:40","-69.5"
"00:0c:e6:00:20:00","-56.9"
"00:0c:e6:00:20:40","-75.1"
"00:0c:e6:00:25:00","-63"
"00:0c:e6:00:25:40","-82.1"
"00:0c:e6:00:26:00","-68"
"00:0c:e6:00:26:40","-86.6"
"00:0c:e6:00:27:00","-71"
"00:0c:e6:00:2a:00","-73.3"
"00:0c:e6:00:2b:00","-71"
"00:0c:e6:00:36:00","-67.8"
"00:0c:e6:00:36:40","-82.8"
"00:0c:e6:00:37:00","-67.4"
"00:0c:e6:00:37:40","-87"
"00:0c:e6:00:38:00","-60.1"
"00:0c:e6:00:38:40","-74"
"00:0c:e6:00:39:00","-56.2"
"00:0c:e6:00:39:40","-78.2"
"00:0c:e6:00:3a:00","-59"
"00:0c:e6:00:3a:40","-69.1"
"00:0c:e6:00:43:40","-88.1"
