"bssid","avg"
"00:0c:e6:00:0a:00","-63.3"
"00:0c:e6:00:0a:40","-78.8"
"00:0c:e6:00:0b:00","-55.5"
"00:0c:e6:00:0b:40","-74"
"00:0c:e6:00:0c:00","-64"
"00:0c:e6:00:0c:40","-77.9"
"00:0c:e6:00:0e:00","-58.4"
"00:0c:e6:00:0e:40","-75.6"
"00:0c:e6:00:12:00","-60.8"
"00:0c:e6:00:12:40","-78.3"
"00:0c:e6:00:13:00","-62.4"
"00:0c:e6:00:13:40","-77.4"
"00:0c:e6:00:15:00","-51.1"
"00:0c:e6:00:15:40","-69.8"
"00:0c:e6:00:1b:00","-62.4"
"00:0c:e6:00:1b:40","-76.7"
"00:0c:e6:00:1d:00","-56.6"
"00:0c:e6:00:1d:40","-75.5"
"00:0c:e6:00:20:00","-55.9"
"00:0c:e6:00:20:40","-71.6"
"00:0c:e6:00:25:40","-84.2"
"00:0c:e6:00:26:00","-70.6"
"00:0c:e6:00:26:40","-87"
"00:0c:e6:00:27:00","-77"
"00:0c:e6:00:2e:00","-65"
"00:0c:e6:00:2e:40","-77"
"00:0c:e6:00:36:00","-75"
"00:0c:e6:00:36:40","-87.1"
"00:0c:e6:00:37:00","-67"
"00:0c:e6:00:37:40","-88.2"
"00:0c:e6:00:38:00","-64.1"
"00:0c:e6:00:38:40","-75.7"
"00:0c:e6:00:39:00","-58"
"00:0c:e6:00:39:40","-77.2"
"00:0c:e6:00:3a:00","-59.4"
"00:0c:e6:00:3a:40","-72.2"
"00:0c:e6:00:43:40","-85.6"
