"bssid","avg"
"00:0c:e6:00:0a:00","-61.9"
"00:0c:e6:00:0a:40","-77.3"
"00:0c:e6:00:0b:00","-53.8"
"00:0c:e6:00:0b:40","-64.9"
"00:0c:e6:00:0c:00","-60.5"
"00:0c:e6:00:0c:40","-73"
"00:0c:e6:00:0e:00","-57.2"
"00:0c:e6:00:0e:40","-76.6"
"00:0c:e6:00:12:00","-59.1"
"00:0c:e6:00:12:40","-73.6"
"00:0c:e6:00:13:00","-61.4"
"00:0c:e6:00:13:40","-75.6"
"00:0c:e6:00:15:00","-57.8"
"00:0c:e6:00:15:40","-68"
"00:0c:e6:00:1b:00","-63.2"
"00:0c:e6:00:1b:40","-78.8"
"00:0c:e6:00:1d:00","-51.8"
"00:0c:e6:00:1d:40","-67.7"
"00:0c:e6:00:20:00","-54.6"
"00:0c:e6:00:20:40","-65.4"
"00:0c:e6:00:25:00","-68.3"
"00:0c:e6:00:25:40","-85.5"
"00:0c:e6:00:26:00","-69.8"
"00:0c:e6:00:26:40","-85"
"00:0c:e6:00:2e:00","-66"
"00:0c:e6:00:36:00","-73.6"
"00:0c:e6:00:36:40","-86.7"
"00:0c:e6:00:37:00","-67.4"
"00:0c:e6:00:37:40","-84.7"
"00:0c:e6:00:38:00","-65.8"
"00:0c:e6:00:38:40","-76.1"
"00:0c:e6:00:39:00","-60.7"
"00:0c:e6:00:39:40","-80.3"
"00:0c:e6:00:3a:00","-60.8"
"00:0c:e6:00:3a:40","-78.4"
"00:0c:e6:00:43:00","-75"
"00:0c:e6:00:43:40","-88.8"
