"bssid","avg"
"00:0c:e6:00:0a:40","-91"
"00:0c:e6:00:1b:00","-72.7"
"00:0c:e6:00:1b:40","-85.8"
"00:0c:e6:00:21:00","-77.8"
"00:0c:e6:00:24:00","-83"
"00:0c:e6:00:25:00","-69.4"
"00:0c:e6:00:25:40","-85.5"
"00:0c:e6:00:28:00","-67.9"
"00:0c:e6:00:2d:00","-46.6"
"00:0c:e6:00:2d:40","-53.4"
"00:0c:e6:00:2e:00","-64.4"
"00:0c:e6:00:2e:40","-73.7"
"00:0c:e6:00:30:00","-70"
"00:0c:e6:00:30:40","-86"
"00:0c:e6:00:31:00","-80.3"
"00:0c:e6:00:31:40","-87.5"
"00:0c:e6:00:35:00","-72.6"
"00:0c:e6:00:35:40","-86.1"
"00:0c:e6:00:36:00","-79"
"00:0c:e6:00:37:00","-78"
"00:0c:e6:00:38:40","-86.2"
"00:0c:e6:00:3b:00","-68.7"
"00:0c:e6:00:3b:40","-90"
"00:0c:e6:00:3c:00","-77"
