"bssid","avg"
"00:0c:e6:00:1b:40","-85"
"00:0c:e6:00:21:00","-79.5"
"00:0c:e6:00:24:00","-82"
"00:0c:e6:00:25:00","-74.7"
"00:0c:e6:00:28:00","-70.7"
"00:0c:e6:00:28:40","-90"
"00:0c:e6:00:29:00","-82"
"00:0c:e6:00:2d:00","-52"
"00:0c:e6:00:2d:40","-62.4"
"00:0c:e6:00:2e:00","-65"
"00:0c:e6:00:2e:40","-73.3"
"00:0c:e6:00:30:00","-73"
"00:0c:e6:00:30:40","-88"
"00:0c:e6:00:31:00","-75.7"
"00:0c:e6:00:31:40","-87.8"
"00:0c:e6:00:35:00","-71.2"
"00:0c:e6:00:35:40","-87.2"
"00:0c:e6:00:38:00","-74.6"
"00:0c:e6:00:38:40","-89"
"00:0c:e6:00:3b:00","-70.5"
"00:0c:e6:00:3b:40","-89.3"
"00:0c:e6:00:3c:00","-77.4"
