"bssid","avg"
"00:0c:e6:00:0a:00","-62.9"
"00:0c:e6:00:0a:40","-81.8"
"00:0c:e6:00:0b:00","-64.3"
"00:0c:e6:00:0b:40","-80.2"
"00:0c:e6:00:0c:00","-65.3"
"00:0c:e6:00:0c:40","-82.7"
"00:0c:e6:00:0e:00","-64.1"
"00:0c:e6:00:0e:40","-80.5"
"00:0c:e6:00:12:00","-68.3"
"00:0c:e6:00:12:40","-85"
"00:0c:e6:00:13:00","-63.2"
"00:0c:e6:00:13:40","-81.3"
"00:0c:e6:00:15:00","-68"
"00:0c:e6:00:15:40","-82.9"
"00:0c:e6:00:1b:00","-59"
"00:0c:e6:00:1b:40","-77.9"
"00:0c:e6:00:1d:00","-60.6"
"00:0c:e6:00:1d:40","-79.8"
"00:0c:e6:00:20:00","-63.1"
"00:0c:e6:00:20:40","-79"
"00:0c:e6:00:25:40","-86.8"
"00:0c:e6:00:26:40","-87.9"
"00:0c:e6:00:2e:40","-80.9"
"00:0c:e6:00:36:40","-89.1"
"00:0c:e6:00:37:00","-66"
"00:0c:e6:00:38:00","-65"
"00:0c:e6:00:38:40","-75.6"
"00:0c:e6:00:39:00","-57.5"
"00:0c:e6:00:39:40","-69.7"
"00:0c:e6:00:3a:00","-58.8"
"00:0c:e6:00:3a:40","-78.1"
