"bssid","avg"
"00:0c:e6:00:0a:00","-66.5"
"00:0c:e6:00:0a:40","-75.6"
"00:0c:e6:00:0b:00","-64.1"
"00:0c:e6:00:0b:40","-76.2"
"00:0c:e6:00:0c:00","-68.1"
"00:0c:e6:00:0c:40","-77"
"00:0c:e6:00:0e:00","-73.9"
"00:0c:e6:00:0e:40","-87.3"
"00:0c:e6:00:0f:00","-69.5"
"00:0c:e6:00:12:00","-64.1"
"00:0c:e6:00:12:40","-80.9"
"00:0c:e6:00:13:00","-71"
"00:0c:e6:00:13:40","-82.2"
"00:0c:e6:00:15:00","-72.9"
"00:0c:e6:00:15:40","-84.9"
"00:0c:e6:00:1b:00","-53.1"
"00:0c:e6:00:1b:40","-68.2"
"00:0c:e6:00:1d:00","-66.1"
"00:0c:e6:00:1d:40","-76.6"
"00:0c:e6:00:20:00","-69.4"
"00:0c:e6:00:20:40","-82.2"
"00:0c:e6:00:25:00","-55.3"
"00:0c:e6:00:25:40","-64.3"
"00:0c:e6:00:26:00","-58.4"
"00:0c:e6:00:26:40","-77"
"00:0c:e6:00:27:00","-67.1"
"00:0c:e6:00:35:00","-73.3"
"00:0c:e6:00:35:40","-87.7"
"00:0c:e6:00:36:00","-66.9"
"00:0c:e6:00:36:40","-79.3"
"00:0c:e6:00:37:00","-60.4"
"00:0c:e6:00:37:40","-75.5"
"00:0c:e6:00:38:00","-71.7"
"00:0c:e6:00:38:40","-80.2"
"00:0c:e6:00:39:00","-71.2"
"00:0c:e6:00:39:40","-82"
"00:0c:e6:00:3a:00","-72.2"
"00:0c:e6:00:3a:40","-84.7"
"00:0c:e6:00:43:00","-63.6"
"00:0c:e6:00:43:40","-76.2"
