"bssid","avg"
"00:0c:e6:00:0a:00","-63"
"00:0c:e6:00:0b:00","-54"
"00:0c:e6:00:0b:40","-88.5"
"00:0c:e6:00:0c:00","-66.1"
"00:0c:e6:00:0c:40","-83.6"
"00:0c:e6:00:12:00","-61"
"00:0c:e6:00:12:40","-89"
"00:0c:e6:00:13:00","-63"
"00:0c:e6:00:13:40","-70"
"00:0c:e6:00:15:00","-61"
"00:0c:e6:00:18:00","-62.3"
"00:0c:e6:00:18:40","-85.9"
"00:0c:e6:00:1b:40","-86"
"00:0c:e6:00:1d:00","-58"
"00:0c:e6:00:1d:40","-87.3"
"00:0c:e6:00:20:00","-62"
"00:0c:e6:00:20:40","-88"
"00:0c:e6:00:28:00","-67.5"
"00:0c:e6:00:28:40","-89"
"00:0c:e6:00:29:00","-58.7"
"00:0c:e6:00:29:40","-77.1"
"00:0c:e6:00:2d:00","-69"
"00:0c:e6:00:2d:40","-83.2"
"00:0c:e6:00:2e:40","-80.3"
"00:0c:e6:00:38:00","-72"
"00:0c:e6:00:38:40","-78.8"
"00:0c:e6:00:39:00","-63.6"
"00:0c:e6:00:39:40","-81.6"
"00:0c:e6:00:3a:40","-86"
