"bssid","avg"
"00:0c:e6:00:0a:00","-61"
"00:0c:e6:00:0a:40","-84"
"00:0c:e6:00:0b:00","-55"
"00:0c:e6:00:0b:40","-67"
"00:0c:e6:00:0c:00","-55"
"00:0c:e6:00:0c:40","-67"
"00:0c:e6:00:0e:00","-60"
"00:0c:e6:00:0e:40","-78"
"00:0c:e6:00:12:00","-60"
"00:0c:e6:00:12:40","-73"
"00:0c:e6:00:13:00","-62"
"00:0c:e6:00:13:40","-68"
"00:0c:e6:00:15:00","-61"
"00:0c:e6:00:15:40","-77"
"00:0c:e6:00:18:00","-76.9"
"00:0c:e6:00:1b:00","-80"
"00:0c:e6:00:1b:40","-75"
"00:0c:e6:00:1d:00","-61"
"00:0c:e6:00:1d:40","-88"
"00:0c:e6:00:20:00","-62"
"00:0c:e6:00:20:40","-79"
"00:0c:e6:00:25:00","-68"
"00:0c:e6:00:25:40","-85"
"00:0c:e6:00:26:00","-72"
"00:0c:e6:00:28:00","-75.5"
"00:0c:e6:00:29:00","-66.8"
"00:0c:e6:00:29:40","-82.3"
"00:0c:e6:00:2d:00","-76"
"00:0c:e6:00:2d:40","-88"
"00:0c:e6:00:2e:00","-55"
"00:0c:e6:00:2e:40","-82.9"
"00:0c:e6:00:38:00","-74.9"
"00:0c:e6:00:38:40","-89"
"00:0c:e6:00:39:00","-70.2"
"00:0c:e6:00:39:40","-89"
"00:0c:e6:00:3a:00","-60"
"00:0c:e6:00:3a:40","-83"
