"bssid","avg"
"00:0c:e6:00:0a:00","-68.4"
"00:0c:e6:00:0a:40","-84.1"
"00:0c:e6:00:0b:00","-70.7"
"00:0c:e6:00:0b:40","-79.1"
"00:0c:e6:00:0c:00","-69.9"
"00:0c:e6:00:0c:40","-83.8"
"00:0c:e6:00:0e:00","-69.9"
"00:0c:e6:00:0e:40","-89.4"
"00:0c:e6:00:0f:00","-67.5"
"00:0c:e6:00:0f:40","-89"
"00:0c:e6:00:12:00","-67.3"
"00:0c:e6:00:12:40","-84.5"
"00:0c:e6:00:13:00","-74.3"
"00:0c:e6:00:13:40","-88.4"
"00:0c:e6:00:15:00","-72.2"
"00:0c:e6:00:15:40","-88.5"
"00:0c:e6:00:1b:00","-53"
"00:0c:e6:00:1b:40","-71.5"
"00:0c:e6:00:1c:00","-77"
"00:0c:e6:00:1d:00","-68.1"
"00:0c:e6:00:1d:40","-77"
"00:0c:e6:00:20:00","-70.7"
"00:0c:e6:00:20:40","-85.6"
"00:0c:e6:00:25:00","-54.1"
"00:0c:e6:00:25:40","-69.3"
"00:0c:e6:00:26:00","-67.8"
"00:0c:e6:00:26:40","-84.3"
"00:0c:e6:00:27:00","-70.3"
"00:0c:e6:00:27:40","-90"
"00:0c:e6:00:2d:00","-72.9"
"00:0c:e6:00:2d:40","-83.8"
"00:0c:e6:00:35:00","-74.4"
"00:0c:e6:00:36:00","-67.5"
"00:0c:e6:00:36:40","-86.1"
"00:0c:e6:00:37:00","-65.9"
"00:0c:e6:00:37:40","-84.2"
"00:0c:e6:00:38:00","-69.2"
"00:0c:e6:00:38:40","-85.3"
"00:0c:e6:00:39:00","-69.3"
"00:0c:e6:00:39:40","-85"
"00:0c:e6:00:3a:00","-78.5"
"00:0c:e6:00:3a:40","-88.7"
"00:0c:e6:00:43:00","-65.3"
"00:0c:e6:00:43:40","-82"
