"bssid","avg"
"00:0c:e6:00:0a:00","-68"
"00:0c:e6:00:0a:40","-79"
"00:0c:e6:00:0b:00","-68.8"
"00:0c:e6:00:0b:40","-82"
"00:0c:e6:00:0c:00","-70.3"
"00:0c:e6:00:0c:40","-84.1"
"00:0c:e6:00:0e:00","-75.4"
"00:0c:e6:00:0e:40","-88.1"
"00:0c:e6:00:0f:00","-79"
"00:0c:e6:00:12:00","-68.4"
"00:0c:e6:00:12:40","-83.6"
"00:0c:e6:00:13:00","-75.8"
"00:0c:e6:00:13:40","-85.6"
"00:0c:e6:00:15:00","-75.9"
"00:0c:e6:00:15:40","-88.7"
"00:0c:e6:00:1b:00","-59.4"
"00:0c:e6:00:1b:40","-74.5"
"00:0c:e6:00:1d:00","-68.1"
"00:0c:e6:00:1d:40","-79.3"
"00:0c:e6:00:20:00","-75.7"
"00:0c:e6:00:20:40","-84.1"
"00:0c:e6:00:25:00","-57.5"
"00:0c:e6:00:25:40","-70"
"00:0c:e6:00:26:00","-64.6"
"00:0c:e6:00:26:40","-80.9"
"00:0c:e6:00:27:00","-70.3"
"00:0c:e6:00:2d:40","-88.4"
"00:0c:e6:00:35:00","-77.2"
"00:0c:e6:00:36:00","-67.4"
"00:0c:e6:00:36:40","-85.5"
"00:0c:e6:00:37:00","-64.6"
"00:0c:e6:00:37:40","-81.2"
"00:0c:e6:00:38:00","-67.4"
"00:0c:e6:00:38:40","-82.1"
"00:0c:e6:00:39:00","-72.6"
"00:0c:e6:00:39:40","-86"
"00:0c:e6:00:3a:40","-89.7"
"00:0c:e6:00:43:00","-69.1"
"00:0c:e6:00:43:40","-81.7"
